date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:38	387/387	---MCZ	200	added ('OK')	text/plain	date:Tue,%2031%20Jan%202023%2011:31:24%20GMT	https://goodtoys.com.ua/robots.txt		(from )
13:40:40	364473/364473	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202023%2011:40:37%20GMT	https://goodtoys.com.ua/ua/	D:/web/goodtoys/goodtoys/goodtoys.com.ua/ua/index.html	(from )
13:40:40	7321/7321	---M--	200	added ('OK')	image/png	etag:%2262fb7ac2-2310%22	https://goodtoys.com.ua/wa-data/public/site/themes/newgoodtoys/img/apple-touch-icon.png	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-data/public/site/themes/newgoodtoys/img/apple-touch-icon.png	(from https://goodtoys.com.ua/ua/)
13:40:40	18252/18252	---MCZ	200	added ('OK')	text/css	etag:W/%2263871f36-5b84%22	https://goodtoys.com.ua/wa-data/public/site/themes/newgoodtoys/default.css?v13.3.0.10	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-data/public/site/themes/newgoodtoys/defaultc788.css	(from https://goodtoys.com.ua/ua/)
13:40:40	707/707	---MCZ	200	added ('OK')	text/css	etag:W/%225f4d21f2-30d%22	https://goodtoys.com.ua/wa-apps/shop/plugins/bdg/css/shopBdgPlugin.css?8.21.0	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-apps/shop/plugins/bdg/css/shopBdgPlugincda0.css	(from https://goodtoys.com.ua/ua/)
13:40:40	57077/57077	---MCZ	200	added ('OK')	text/css	etag:W/%2262de9501-def5%22	https://goodtoys.com.ua/wa-apps/shop/plugins/productsets/css/frontend.min.css?2.5.4	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-apps/shop/plugins/productsets/css/frontend.minb3ed.css	(from https://goodtoys.com.ua/ua/)
13:40:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2031%20Jan%202023%2011:40:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/web/goodtoys/goodtoys/www.googletagmanager.com/gtm.45445.delayed	(from https://goodtoys.com.ua/ua/)
13:40:41	23479/23479	---MCZ	200	added ('OK')	text/css	etag:W/%2263d2b258-7634%22	https://goodtoys.com.ua/wa-data/public/shop/themes/newgoodtoys/default.shop.css?v3.3.0.10	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-data/public/shop/themes/newgoodtoys/default.shop1c4d.css	(from https://goodtoys.com.ua/ua/)
13:40:41	2631/2631	---MCZ	200	added ('OK')	text/css	etag:W/%2262cbec49-e09%22	https://goodtoys.com.ua/wa-data/public/shop/themes/newgoodtoys/jquery.bxslider.css?v3.3.0.10	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-data/public/shop/themes/newgoodtoys/jquery.bxslider1c4d.css	(from https://goodtoys.com.ua/ua/)
13:40:41	436/436	---MCZ	200	added ('OK')	text/css	etag:W/%2262b56401-2f3%22	https://goodtoys.com.ua/wa-data/public/shop/themes/newgoodtoys/jquerycountdowntimer/css/jquery.countdownTimer.css	D:/web/goodtoys/goodtoys/goodtoys.com.ua/wa-data/public/shop/themes/newgoodtoys/jquerycountdowntimer/css/jquery.countdownTimer.css	(from https://goodtoys.com.ua/ua/)
